9000600606|InAir5678|215|2788|No
9000600609|InAir1234|1016|2528|Yes
9000600609|InAir1234|4494|4702|Yes
9000600608|SkyNet777|457|112|Yes
9000600601|RoamLink9|1572|5572|Yes
9000600603|FiberHub1|4454|6563|Yes
9000600600|FiberHub1|3977|5989|Yes
9000600604|FiberHub1|1811|7734|Yes
9000600601|RoamLink9|2750|6136|No
9000600605|RoamLink9|3449|1096|No
9000600608|RoamLink9|834|6624|Yes
9000600605|FiberHub1|646|5776|Yes
9000600604|InAir5678|2360|1680|Yes
9000600609|RoamLink9|1911|4153|Yes
9000600609|InAir5678|388|2906|Yes
9000600601|InAir5678|3481|1699|No
9000600607|SkyNet777|725|440|No
9000600603|FiberHub1|1469|3569|No
9000600600|InAir1234|3749|1718|Yes
9000600603|FiberHub1|2143|5549|No
9000600606|FiberHub1|4611|7137|No
9000600600|RoamLink9|3601|980|No
9000600609|RoamLink9|4565|5925|Yes
9000600602|InAir5678|4516|365|Yes
9000600609|SkyNet777|3826|4919|No
9000600608|SkyNet777|3846|6312|Yes
9000600603|SkyNet777|1337|4276|No
9000600602|RoamLink9|3785|2287|Yes
9000600602|FiberHub1|4347|2448|Yes
9000600606|InAir5678|2229|7024|No
