9000600601|RoamLink9|744|4634|Yes
9000600606|InAir5678|3442|215|Yes
9000600608|InAir1234|2829|5215|Yes
9000600609|SkyNet777|37|7367|No
9000600608|RoamLink9|2633|1586|No
9000600604|RoamLink9|4496|2011|No
9000600604|InAir5678|972|5619|No
9000600600|FiberHub1|2607|5878|No
9000600604|FiberHub1|402|4806|Yes
9000600607|InAir1234|1836|3707|Yes
9000600605|RoamLink9|3598|3580|Yes
9000600604|InAir1234|4637|7927|Yes
9000600604|RoamLink9|206|4178|Yes
9000600600|RoamLink9|928|2819|Yes
9000600606|FiberHub1|3030|4531|Yes
9000600609|InAir1234|3254|2149|No
9000600607|SkyNet777|3233|5724|Yes
9000600601|RoamLink9|4467|3338|No
9000600600|InAir5678|2472|3394|No
9000600600|SkyNet777|2253|1649|No
9000600606|FiberHub1|3497|5544|Yes
9000600603|InAir1234|971|4820|Yes
9000600608|SkyNet777|4428|514|Yes
9000600606|SkyNet777|3503|7521|Yes
9000600601|SkyNet777|2388|5512|No
9000600600|FiberHub1|4717|5221|Yes
9000600608|RoamLink9|2962|1825|Yes
9000600600|FiberHub1|4839|424|No
9000600603|SkyNet777|604|4877|Yes
9000600603|FiberHub1|2731|7846|No
